Product Name,Manufacturer,Operating System,Screen Size (inch),Battery (mAh),Main Camera (MP),RAM (GB),Internal Storage (GB),Phone Chip,Processor Speed (GHz),Price (VND)
Xiaomi Redmi 13C,Xiaomi,Android,6.74,5000,50,4,128,MediaTek Helio G85,2 nhân 2.0 GHz & 6 nhân 1.8 GHz,"2,890,000"
Xiaomi Redmi 12C (4G/64G) - Hàng Chính Hãng,Xiaomi,Android,6.7,5000,50,4,64,MediaTek Helio G85 8 nhân, 2 nhân 2.0 GHz & 6 nhân 1.8 GHz,2872000
Xiaomi Redmi 12,Xiaomi,Android,6.79,5000,50,4,128,MediaTek Helio G88,2,"3,490,000"
Xiaomi 13T Pro 5G,Xiaomi,Android,6.67,5000,50,12,256,MediaTek Dimensity 9200+ 5G,"1 nhân 3.35 GHz, 3 nhân 3 GHz & 4 nhân 2 GHz","14,490,000"
XIAOMI 13T 5G (12GB-256GB) - Hàng chính hãng,Xiaomi,Android,6.67,5000,50,12,256, MediaTek Dimensity 8200-Ultra," 1 nhân 3.1 GHz, 3 nhân 3 GHz &amp; 4 nhân 2 GHz",11390000
Xiaomi 13T 5G,Xiaomi,Android,6.67,5000,50,8,256,MediaTek Dimensity 8200-Ultra,"1 nhân 3.1 GHz, 3 nhân 3 GHz & 4 nhân 2 GHz","10,490,000"
Xiaomi 13 Lite 5G,Xiaomi,Android,6.55,4500,50,8,256,Snapdragon 7 Gen 1,"1 nhân 2.4 GHz, 3 nhân 2.36 GHz & 4 nhân 1.8 GHz","8,990,000"
vivo Y36,vivo,Android,6.64,5000,50,8,128,Snapdragon 680,4 nhân 2.4 GHz & 4 nhân 1.9 GHz,"5,490,000"
vivo Y27e,vivo,Android,6.62,4500,64,8,256,MediaTek Helio G99,2 nhân 2.2 GHz & 6 nhân 2.0 GHz,"7,990,000"
vivo Y22s,vivo,Android,6.55,5000,50,4,128,Snapdragon 680,4 nhân 2.4 GHz & 4 nhân 1.9 GHz,"5,290,000"
vivo V29e 5G,vivo,Android,6.67,4800,64,12,256,Snapdragon 695 5G,2.2,"9,490,000"
vivo V29 5G,vivo,Android,6.78,4500,50,12,256,Snapdragon 778G 5G,4 nhân 2.4 GHz & 4 nhân 1.8 GHz,"12,990,000"
Samsung Galaxy Z Fold5 5G,Samsung,Android,7.6,4400,50,12,256,Snapdragon 8 Gen 2 for Galaxy,"1 nhân 3.36 GHz, 4 nhân 2.8 GHz & 3 nhân 2 GHz","38,990,000"
Samsung Galaxy Z Fold4,Samsung,Android,7.6,4400,50,12,256,Snapdragon 8+ Gen 1,"1 nhân 3.18 GHz, 3 nhân 2.7 GHz & 4 nhân 2 GHz","22,990,000"
Samsung Galaxy Z Flip5 5G,Samsung,Android,6.7,3700,12,8,256,Snapdragon 8 Gen 2 for Galaxy,"1 nhân 3.36 GHz, 4 nhân 2.8 GHz & 3 nhân 2 GHz","19,990,000"
Samsung Galaxy Z Flip4 5G,Samsung,Android,6.7,3700,12,8,128,Snapdragon 8+ Gen 2,"1 nhân 3.18 GHz, 3 nhân 2.7 GHz & 4 nhân 2 GHz","11,990,000"
Samsung Galaxy S23+ 5G,Samsung,Android,6.6,4600,50,8,256,Snapdragon 8 Gen 2 for Galaxy,"1 nhân 3.36 GHz, 4 nhân 2.8 GHz & 3 nhân 2 GHz","19,990,000"
Samsung Galaxy S23 FE 5G,Samsung,Android,6.4,4500,50,8,128,Exynos 2200,"1 nhân 2.8 GHz, 3 nhân 2.5 GHz & 4 nhân 1.8 GHz","12,990,000"
Samsung Galaxy S22 Ultra 5G,Samsung,Android,6.8,5000,108,8,128,Snapdragon 8+ Gen 1,"1 nhân 3 GHz, 3 nhân 2.5 GHz & 4 nhân 1.79 GHz","16,990,000"
Samsung Galaxy S21 FE 5G,Samsung,Android,6.4,4500,12,6,128,Exynos 2100,"1 nhân 2.9 GHz, 3 nhân 2.8 GHz & 4 nhân 2.2 GHz","9,490,000"
Samsung Galaxy M54 5G,Samsung,Android,6.7,5000,108,8,256,Exynos 1380,4 nhân 2.4 GHz & 4 nhân 2 GHz,"10,490,000"
Samsung Galaxy M34 5G,Samsung,Android,6.5,5000,50,8,128,Exynos 1280,2 nhân 2.4 GHz & 6 nhân 2 GHz,"7,490,000"
Samsung Galaxy A54 5G,Samsung,Android,6.4,5000,50,8,128,Exynos 1380,4 nhân 2.4 GHz & 4 nhân 2 GHz,"9,290,000"
Samsung Galaxy A34 5G A346E (8+128G) Silver Bạc - Hàng Chính Hãng (chỉ giao HN và một số khu vực),Samsung,Android,6.4,5000,50,8,128,,,7164000
Samsung Galaxy A25,Samsung,Android,6.5,5000,50,8,256,MediaTek Helio G99,2,"6,590,000"
Samsung Galaxy A24 6G,Samsung,Android,6.5,5000,50,6,128,MediaTek Helio G99,2.2,"5,490,000"
Samsung Galaxy A15 5GB,Samsung,Android,6.5,5000,50,8,256,MediaTek Helio G99,2,"4,990,000"
Samsung Galaxy A15,Samsung,Android,6.5,5000,50,8,256,MediaTek Helio G99,2,"4,990,000"
Samsung Galaxy A14 6GB,Samsung,Android,6.6,5000,50,6,128,Exynos 850,2,"3,990,000"
