Product Name,Brand,Release Year,Operating System,Screen Size (inch),Battery (mAh),Main Camera (MP),RAM (GB),Internal Storage (GB),Chip Set,CPU speed,GPU,Price
Điện Thoại Oppo A57 4GB/128GB - Hàng Chính Hãng,OPPO,,Android,6.56 inch,5000 mAh,8 MP,4 GB,128 GB,MediaTek Helio G35 8 nhân,2.3 GHz,IMG PowerVR GE8320,3270000
Điện Thoại Oppo A17k (3GB/64GB) - Hàng Chính Hãng,OPPO,,Android,6.56 inch,5000 mAh,5 MP,3 GB,64 GB,MediaTek Helio G35 8 nhân,2.3 GHz,IMG PowerVR GE8320,2370000
Điện thoại Xiaomi Redmi 9A (2GB/32GB) - Hàng chính hãng,Xiaomi,,Android,6.53 inch,5000 mAh,5 MP,2GB,32GB,MediaTek Helio G25 8 nhân,8 nhân 2.0 GHz,IMG PowerVR GE8320,1770000
"Điện Thoại POCO M4 PRO 5G 6.6""/MTK DIMENSITY 810/4G/64G/50+8MP/16MP/5000mAh - Hàng Chính Hãng",POCO,,Android,,,,,,,,,2790000
Apple iPhone 15 Pro Max,Apple,,iOS,6.7 inch,4422 mAh,,8 GB,1 TB,Apple A17 Pro 6 nhân,3.78 GHz,Apple GPU 6 nhân,33450000
Apple iPhone 13,Apple,,iOS,6.1 inch,3240 mAh,,4 GB,128GB,Apple A15 Bionic 6 nhân,3.22 GHz,Apple GPU 4 nhân,15692000
Điện Thoại Nokia C30 (2GB/32GB) - Hàng Chính Hãng,Nokia,,Android,,6000 mAh,5 MP,2GB,32GB,Spreadtrum SC9863A 8 nhân,4 nhân 1.6 GHz & 4 nhân 1.2 GHz,IMG PowerVR 8322,1475000
Apple iPhone 15 Plus,Apple,,iOS,6.7 inch,4383 mAh,,6 GB,512 GB,Apple A16 Bionic 6 nhân,3.46 GHz,Apple GPU 5 nhân,24950000
Apple iPhone 15 Pro,Apple,,iOS,6.1 inch,3274 mAh,,8 GB,1 TB,Apple A17 Pro 6 nhân,3.78 GHz,Apple GPU 6 nhân,27490000
Điện thoại Xiaomi Redmi Note 12 (8GB/128GB) - Hàng chính hãng,Xiaomi,,Android,,5000 mAh,13 MP,8GB,128GB,Snapdragon 685 8 nhân,2.8 GHz,Adreno 610,4490000
Điện Thoại Oppo Reno8 5G (8GB/256GB) - Hàng Chính Hãng,OPPO,,Android,6.43 inch, 4500 mAh, 32 MP,8GB,256GB, MediaTek Dimensity 1300 8 nhân,3 GHz,Mali-G77 MC9,6290000
Điện Thoại Samsung Galaxy S20 FE (8GB/256GB) - Hàng Chính Hãng - Đã kích hoạt bảo hành điện tử,Samsung,,Android,6.5 inch,4500 mAh,32 MP,8 GB,256 GB,Snapdragon 865 8 nhân,"1 nhân 2.84 GHz, 3 nhân 2.42 GHz & 4 nhân 1.8 GHz",Adreno 650,7090000
Apple iPhone 15,Apple,,iOS,6.1 inch,3349 mAh,,6 GB,128 GB,Apple A16 Bionic 6 nhân,3.46 GHz,Apple GPU 5 nhân,20990000
Điện Thoại Oppo A77s  8GB/128GB - Hàng Chính Hãng,OPPO,,Android,6.56 inch,5000 mAh,8 MP,8 GB,128 GB,Snapdragon 680 8 nhân,2.4 GHz,Adreno 610,4350000
Điện thoại Samsung Galaxy A05 (4GB/128GB) - Đã kích hoạt bảo hành điện tử - Hàng chính hãng,Samsung,,Android,6.7 inch,5000 mAh,"	8 MP",4GB,128GB,MediaTek Helio G85,"	4 nhân 2.0 GHz &amp; 4 nhân 1.8 GHz",Mali-G52,2650000
Điện thoại Samsung Galaxy A04s (4GB/64GB) - Hàng chính hãng,Samsung,,Android,6.5 inch,5000 mAh,5 MP,4GB,64GB,Exynos 850 8 nhân,2.0 GHz,Mali-G52,2790000
Điện thoại Xiaomi Redmi 10 2022 (4GB/128GB) - Hàng chính hãng,Xiaomi,,Android,,5000 mAh,8 MP,4GB,128GB,MediaTek Helio G88 8 nhân,2 nhân 2.0 GHz & 6 nhân 1.8 GHz,Mali-G52 MC2,2762000
Điện thoại Realme C55 (6GB/128GB) - Hàng chính hãng,Realme,,Android,6.72 inch,5000 mAh,8 MP,6GB,128GB,MediaTek Helio G88 8 nhân,2.0 GHz,Mali-G52,3590000
Apple iPhone 14,Apple,,iOS,6.1 inch,3279 mAh,12MP,6 GB,128GB,Apple A15 Bionic 6 nhân,3.22 GHz,Apple GPU 5 nhân,18490000
Điện Thoại Oppo Reno 10 5G (8GB/256GB) - Hàng Chính Hãng,OPPO,,Android,6.7 inch,5000 mAh,32 MP,8 GB,256 GB,MediaTek Dimensity 7050 5G 8 nhân,2.6 GHz,Mali-G68 MC4,9490000
Điện thoại Samsung Galaxy A04 (3GB/32GB) - Đã kích hoạt bảo hành điện tử -  Hàng chính hãng,Samsung,,Android,,,,,,,,,1999000
Điện thoại Xiaomi Redmi A1 (2GB/32GB) - Hàng chính hãng,Xiaomi,,Android,6.52 inch,5000 mAh,5 MP,2 GB,32 GB,MediaTek MT6761 4 nhân (Helio A22), 2.0 GHz,IMG PowerVR GE8300,1673000
Điện thoại Samsung Galaxy S23 5G (8GB/256GB) - Hàng chính hãng,Samsung,,Android,6.1 inch,3900 mAh,12 MP,8GB,256GB,Snapdragon 8 Gen 2 8 nhân,"1 nhân 3.36 GHz, 4 nhân 2.8 GHz & 3 nhân 2 GHz",Adreno 740,15490000
Apple iPhone 11,Apple,,iOS,6.1 inch,3110 mAh,12 MP,4 GB,128GB,Apple A13 Bionic 6 nhân,2 nhân 2.65 GHz & 4 nhân 1.8 GHz,Apple GPU 4 nhân,11990000
Điện thoại Samsung Galaxy A54 5G - Đã kích hoạt bảo hành điện tử - Hàng chính hãng,Samsung,,Android,,,,,,,,,7290000
Điện thoại Samsung Galaxy A34 5G (8GB/128GB) - Đã kích hoạt bảo hành điện tử - Hàng chính hãng,Samsung,,Android,,,,,,,,,5990000
Điện thoại Samsung Galaxy A05s (4GB/128GB) - Hàng chính hãng ,Samsung,,Android,,,,,,,,,3490000
Điện thoại Samsung Galaxy M14 5G (6GB/128GB) - Đã kích hoạt bảo hành điện tử - Hàng chính hãng,Samsung,,Android,,,,,,,,,4290000
Điện thoại Xiaomi Redmi Note 12 (8GB/128GB) - Hàng chính hãng,Xiaomi,,Android,6.67 inch,5000,,8GB,128GB,Snapdragon 685 8 nhân,2.8 GHz,,4445000
Điện Thoại Xiaomi Redmi 12C 4GB/64GB - Hàng Chính Hãng,Xiaomi,,Android,6.7 inch,5000 mAh,5 MP,4GB,64GB,MediaTek Helio G85 8 nhân,2 nhân 2.0 GHz & 6 nhân 1.8 GHz,Mali-G52 MC2,2465000
Điện thoại Realme 11 (8GB/128GB) - Hàng chính hãng ,Realme,,Android,,,,,,,,,6250000
Điện thoại Xiaomi Redmi Note 10 JE 5G 4GB/64GB - Màn 90HZ - Chống Nước IP68 - Hàng Nhập Khẩu - Bản quốc tế,Xiaomi,,Android,,,,4GB,64GB,Snapdragon 480 5G,,,2399000
Điện thoại Nokia C32 (4GB/128GB) - Hàng chính hãng,Nokia,,Android,,,,,,,,,2750000
Điện thoại Tecno POVA 5 (8+8)/128GB - MediaTek Helio G99 - Sạc nhanh 45W - 6.8'' FHD+120HZ - Hàng Chính Hãng - BH 13 Tháng,Tecno,,Android,6.8 inch,,,,,MediaTek Helio G99,,,4050000
Điện thoại Xiaomi Redmi Note 12 (4GB/128GB) - Hàng chính hãng,Xiaomi,,Android,6.67 inch,5000 mAh,13 MP,4GB,128GB,Snapdragon 685 8 nhân,2.8 GHz,Adreno 610,3650000
Apple iPhone 14 Plus,Apple,,iOS,6.7 inch,4325 mAh,12MP,6 GB,128GB,Apple A15 Bionic 6 nhân,3.22 GHz,Apple GPU 5 nhân,20990000
Apple iPhone 12,Apple,,iOS,6.1 inch,2815 mAh,12 MP,4 GB,128 GB,Apple A14 Bionic 6 nhân,2 nhân 3.1 GHz & 4 nhân 1.8 GHz,Apple GPU 4 nhân,12620000
Điện thoại Xiaomi Redmi 10C (4GB/128GB) - Hàng chính hãng,Xiaomi,,Android,6.71 inch,5000 mAh,5 MP,4GB,128GB,Snapdragon 680 8 nhân,4 nhân 2.4 GHz & 4 nhân 1.9 GHz,Adreno 610,2960000
Điện thoại Xiaomi Redmi 12C (3GB/32GB) - Hàng chính hãng,Xiaomi,,Android,6.7 inch,5000mah,,3GB,32GB,MediaTek Helio G85,,,2029000
Điện Thoại Samsung Galaxy A04s (4GB/64GB) - Hàng Chính Hãng - Đã kích hoạt bảo hành điện tử,Samsung,,Android,6.5 inch,,,,,Exynos 850,2GHz,,2950000
Điện thoại POCO M5 4GB+64GB/6GB+128GB | Pin 5000mAh | MediaTek Helio G99 | Sạc nhanh 18W - Hàng chính hãng,Xiaomi,,Android,,,,,,,,,2599000
Điện Thoại Samsung A54 5G 8GB/128GB - Hàng Chính Hãng,Samsung,,Android,6.6 inch,5000 mAh,,128GB,8GB,Exynos 1380 ,,,7251000
